Event Number,Event Description,Business Unit,Date Created,Date Last Updated,Date of Occurrence,Date of Identification,Estimated Loss,Loss Value,Rationale for Estimated Loss,Total Recovery Amount,Gross Loss Value,Net Loss,Event Status,Event Identifier,Event Type,Event Owner,Risk Driver (Primary Risk Factor),Other Driver1,Other Driver2,Business Unit Caused,Process Caused,Effect Description,Effect Type,Effect Category,Loss Value,Rationale for Gross Loss  Value,Process Impacted,Unit Impacted,General Ledger Impacted,General Ledger Number,Required Actions,Action Owner,Action Due Date,Action Progress Report,Action Status,Recovery Date,Recovery Amount,Recovery Type,Recovery Description
361,"A power surge from the office eletricity generator occured at about 11:30 pm on 31st January, according to the security guards.",ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,2/1/2011 14:32,9/1/2014 13:45,1/31/2011,2/1/2011,"₦110,000.00","15,000.00| 40,000.00| 13,500.00| 10,000.00| 5,000.00",Cost for items affected by power surge.,0,"83,500.00","83,500.00",Closed,Babarinde Adewunmi,Disasters and Other Events›Accidents and public safety›Electrical surges,Esther Ukwuoma,Process›Adequacy of Procedures›Inadequate / incomplete procedure (Internal communication failure),People›Skills›Negligence of duties and responsibilities,,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,Administration›Facility Maintenance,"The following appliances were damaged as a result of the power surge:

1.	The Stabilizer damaged in the server room(IT)

| 2 monitors: one in the server room and the other in Reconciliation unit| 1 UPS in Compliance Unit| 2 Air Conditioners in Admin| Outer Security lights and Reception Light Bulbs",Actual Loss| Actual Loss| Actual Loss| Actual Loss| Actual Loss,Loss or Damage to Assets| Loss or Damage to Assets| Loss or Damage to Assets| Loss or Damage to Assets| Loss or Damage to Assets,"15,000.00| 40,000.00| 13,500.00| 10,000.00| 5,000.00",cost of replacing the items which was taken from the store| cost of replacing the items taken from the store| cost of replacing the item taken from the store| this is the actual cost of repair for both Air Conditioners| cost of replacing all the burnt bulbs.,,,,,Start keeping a log on Generators used hours to actually determine next service date/time. | Send out a mail to all staff to ensure all electrical appliances are switched off at the close of business everyday.| Repair/replace all affected appliances immediately.| Purchase of 2 AVS Protector for the damaged Air Conditioners to ensure its been protected from power surge.,Babarinde Adewunmi| Obehie Omiyi| Babarinde Adewunmi| Babarinde Adewunmi,2011-02-14| 2011-03-22| 2011-03-30| 2011-03-29,"done| done| All damaged appliances have been replaced except the 2 Airconditioners, that needs an AVS protector each before it can be repaired, to avoid it from being affected from power surge in future.| done",Complete| Complete| Complete| Complete,,,,
350,"Benefit overpayment to a client, some transactions posted in his account do not belong to him",ARM Pensions›Operations›Benefit Administration,12/14/2010 8:51,12/10/2015 6:55,12/1/2009,11/5/2010,"₦55,338.81","55,388.31",the difference between the amount paid him and the amount due him,0,"55,388.31","55,388.31",Closed,Adebimpe Adekanmbi,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Erroneous payment to a client, vendor or other counterpaties",Jude Okujere,External Events›Client / Customer Relations›Inadequate/inappropriate information provided by the client,People›Skills›Negligence of duties and responsibilities,,,,Potentail financial loss if the Excess remittance of contribution made into the client RSA account was not recoup via refund from NSITF fund,Actual Loss,Loss of Recourse,"55,388.31",Being an amount overpaid based on the RSA statement,Treasury›Client Disbursement,ARM Pensions›Operations›Benefit Administration,Yes,50502000500,Reverse the the portion of the excess remmitances to the right RSA holder. | Review the contribution processing call over process in other to forestall future occurrence of this event | Follow-up with NSITF to make sure that the excess fund paid to the client in question is deducted from his NSITF fund upon remittance.  | Contact the client in question to commence processing of NSITF pre-scheme fund  ,Toni Timi-Oyefolu| Wole Adediran| Taiwo Ojo| Emeka Okonkwo,2010-12-15| 2011-02-15| 2015-11-30| 2012-11-30,"The excess contribution, from June 2008 to september 2009 had been credited to the right RSA holder leaving the RSA of the client in question in debit.| The process was updated.| We await NSITF transfer from Trust Fund Plc- Lanre Durowuju and Taiwo Ojo to do a follow up on this| Done",Complete| Complete| Complete| Complete,,,,
352,Data Center UPS Power Failure,ARM Pensions›Information Technology›Information Technology,1/11/2011 6:50,9/1/2014 15:43,1/10/2011,1/10/2011,₦0.00,0.00| 0.00,nil,0,0,0,Closed,Abiodun Oke,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›System downtime,Abiodun Oke,Systems›System availability›Hardware failure (Failure of wearing parts etc),,,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,Administration›Facility Maintenance,Loss of man hours during the power outage in the data center| Unavailability of client online statement during the power outage in the data center,Actual Loss| Near Miss,Reduced operational capacity| Reputational Loss,0.00| 0.00,I am unable confirm the loss value| No formal complaint from clients or penalty from regulator,,,,,Get power vendor to restore power supply to the UPS and also fix the device that failed.,Abiodun Oke,1/10/2011,Failed device was replaced. Equipment (Sequence corrector) was re-installed such that it gets electrical supply from stabilizer. This vendor was not paid as the equipment was still under warranty.,Complete,,,,
353,"Unavailability of Hiport Backup Data for December 31, 2010",ARM Pensions›Information Technology›Information Technology,1/11/2011 7:15,9/1/2014 15:56,1/7/2011,1/7/2011,₦0.00,0,nil,0,0,0,Closed,Abiodun Oke,Internal Fraud›System Security (Internal)›Manipulation of files/ programs,Abiodun Oke,Process›Adequacy of Procedures›Inadequate / incomplete procedure (Internal communication failure),Systems›Data Protection›Inadequate system / data backups,,ARM Pensions›Information Technology›Information Technology,Information Technology›Data Back-up Procedure,"Loss of man hours in re-capturing transaction data for Dec. 31, 2010",Actual Loss,Reduced operational capacity,0,I am not in position to confirm the loss value.,,,,,"To update DR strategy document to include backup operations during weekends and public holidays.

| To ensure going forward that an IT staff monitors backup on weekends and public holidays ",Ade Ojedokun| Abiodun Oke,2011-01-13| 2011-01-13,DR document update and approved| IT staff has commenced  writing backup to tape on weekends,Complete| Complete,,,,
354,Loan Repayment Default to First Bank of Nigeria Plc on Behalf of Exited Employee,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,1/11/2011 13:19,9/1/2014 13:53,6/4/2010,1/11/2011,"₦4,011,625.00",0.00| 0.00,Actual terminal benefit which is one month in lieu of notice for the exited staff.  This is the loan repayment ecxpected from ARMP on behalf of the exited staff.,0,0,0,Closed,Obehie Omiyi,"Execution, Delivery and Process Management›Transaction capture, execution and maintenance›Erroneous payment to a client, vendor or other counterpaties",Obehie Omiyi,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,Process›Adequacy of Procedures›Lack of formal procedures / guidelines,People›Skills›Lack of management oversight,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,Human Resources›Staff Loan Application Process,The amount paid to Exited Employee as entitlement that should have been paid to first bank on his Behalf. The bank has subsequently made a claim for this funds  | The amount paid to Exited Employee as entitlement that should have been paid to first bank on his Behalf.,Near Miss| Near Miss,Loss or Damage to Assets| Loss or Damage to Assets,0.00| 0.00,"Being the entitlement (51750.00) of an exited employee who have defaulted on the loan based on the letter sent by first bank. 
The firm didn't have to pay.| Being the entitlement (3959875.00) of all exited former First Alliance employee. 
The firm didn't have to pay. ",,ARM Pensions›X_Human Resources and Administration›Human Resources and AdministrationARM Pensions›X_Human Resources and Administration›Human Resources and Administration,,,Liaise with first bank to determine the number and name of former FA employees who are not servicing their loan (under this agreement)| Pay First Bank the exit entitlement for the specific defaulting former First Alliance employee.,Layi Afolabi| Obehie Omiyi,2011-02-11| 2011-02-16,Done. There was no need to approach the bank on the matter. | Done. There was no need to pay the bank,Complete| Complete,,,,
389,Error on Contribution SMS Alert for 14/02/2011,ARM Pensions›Information Technology›Information Technology,2/18/2011 13:59,9/1/2014 15:59,2/18/2011,2/18/2011,₦0.00,0,Nil,0,0,0,Closed,Osas Obasogie,"Execution, Delivery and Process Management›Monitoring and reporting›Error in the transaction notification sent to clients (e.g. Contribution SMS Alert, Investment Email alert, etc.)",Abiodun Oke,Process›Adequacy of Procedures›Inadequate / incomplete procedure (Internal communication failure),,,ARM Pensions›Operations›Fund Account,,Possible Complaint from the affected clients that got incorrect account balance alert on,Potential Loss,Reputational Loss,0,Unable to quantify this event.,,,,,"Confirm the cause of error, escalate to senior management and communicate to relevant units and staff required to manage customer complains| Send SMS to all the affected clients; to ignore earlier transaction alert| Re-generate the transaction alert and account balances and sent to the affect clients",Abiodun Oke| Abiodun Oke| Abiodun Oke,2011-02-18| 2011-02-18| 2011-02-18,Action completed| Action completed| Action completed,Complete| Complete| Complete,,,,
614,Lagos -Abuja Network Downtime,ARM Pensions›Information Technology›Information Technology,10/10/2011 13:33,9/1/2014 16:00,10/4/2011,10/4/2011,₦0.00,0.00| 0.00,man hr lost as a result of operations shut down,0,0,0,Closed,Steve Omali,Business Disruption and System Failures›Inadequacy / Inefficiency / Malfunction or Block of Technology Systems or Company infrastructure›System downtime,Abiodun Oke,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,ARM Pensions›Information Technology›Information Technology,,"Loss of man hours of the employees in the operations unit, i.e. Form processing and Benefit admin  | Delay in sending PENCOM September report",Actual Loss| Actual Loss,Reduced operational capacity| Regulatory Action,0.00| 0.00,Unable to value the cost of the manhour loss at this time| PenCom did not penalise the firm for this.,,ARM PensionsARM Pensions›Operations,,,Setup VPN over internet such that operations staff can access PFA Manager from Abuja.| Follow up with Internet service provider (ISP) to ensure an alternative link is setup| Transfer some Operations activities to Lagos for processing| Inform PenCom of the possible delay in sending the statutory reports ,Abiodun Oke| Abiodun Oke| Toni Timi-Oyefolu| Corona Sonuga-Oye,2011-10-06| 2011-12-07| 2011-10-07| 2011-10-07,Done| The ISP provided a temporary link though it is not as effective as the original link. | Done| Done,Complete| Complete| Complete| Complete,10/7/2011,,,
625,A retiree client discovered wrong investment amount on his previous RSA quarterly statement,ARM Pensions›Operations›Reconciliation,11/10/2011 12:52,9/1/2014 17:11,9/5/2011,9/5/2011,₦0.00,0,No financial loss,0,0,0,Closed,Olusola Iwasanmi,"Execution, Delivery and Process Management›Monitoring and reporting›Error in the transaction notification sent to clients (e.g. Contribution SMS Alert, Investment Email alert, etc.)",Adebimpe Adekanmbi,Process›Quality of controls›Inadequate controls in place (specific / pervasive / monitoring),People›Skills›Negligence of duties and responsibilities,,ARM Pensions›Operations›Reconciliation,,Client disgruntled and requested for payment of the understated investment amount,Actual Loss,Reputational Loss,0,We are unable to quantify this event.,,ARM Pensions›Business Development›West Region,,,"Write formally to the client explaining the discrepancy in the quarterly statement and benefit withdrawal consent form| Identify and document the details of client affected by this same error, so as to ease the resolution of this kind of complain in the future.",Sunday Adedoyin| Adebimpe Adekanmbi,2011-10-21| 2011-10-26,DONE| DONE,Complete| Complete,,,,
628,Theft at ARM Pension Sanusi Fafunwa office,ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,12/23/2011 9:38,9/1/2014 13:54,11/27/2011,11/28/2011,"₦305,000.00","305,000.00| 0.00",Being the cost of 2 motor bikes,"305,000.00","305,000.00",0,Closed,Obehie Omiyi,"External Fraud›Theft and Fraud (External)›Theft of company assets (e.g. Pool car theft, Petty cash theft, etc.)",Esther Ukwuoma,External Events›Outsourcing›Performance failure of outsourced vendor / service provider,,,,,Motorcycles Stolen | Quarterly statements & other letters being unable to be livered to various customers and organizations for 3 days,Actual Loss| Actual Loss,Loss or Damage to Assets| Reduced operational capacity,"305,000.00| 0.00",Being the cost of replacing the 2 motorcycles stolen,Administration›Outgoing Mail AdministrationAdministration›Vendor Performance Monitoring,ARM Pensions›X_Human Resources and Administration›Human Resources and AdministrationARM Pensions›X_Human Resources and Administration›Human Resources and Administration,,,Draft an incidence report  to be sent to relevant stakeholders| Contact the Security outfit to log complain of the missing motorcycles| Follow up with the Security outfit to replace the motorcycles,Esther Ukwuoma| Esther Ukwuoma| Esther Ukwuoma,2011-12-05| 2011-12-05| 2011-12-06,"incidence report was sent to admin supervisors/ internal audit| the security outfit's investigation reveals that the motorcycles was stolen by one of the security firm's staff member.
The firm sent in a report on their findings| The nmotorcycles were replace by the security firm by 12th of December.",Complete| Complete| Complete,12/12/2011,"305,000.00",Others,The Security outfit to replace the stolen motorcycles
629,"Collapsed tree at ARM Pension, Ikoyi office",ARM Pensions›X_Human Resources and Administration›Human Resources and Administration,12/23/2011 9:53,9/1/2014 13:57,12/20/2011,12/20/2011,"₦700,000.00",0.00| 0.00,Cost of fixing damaged car and fence,0,0,0,Closed,Obehie Omiyi,Disasters and Other Events›Natural causes›Heavy wind storm resulting in Hail/Roof damage/ Tree collapse / building collapse etc.,Esther Ukwuoma,"External Events›Social and Natural Environment›Natural disasters (Fire, floods, etc)",,,,,The Fence was damaged by the collapsed tree | A car parked in the car-park was damaged. The car belongs to a staff member,Actual Loss| Actual Loss,Loss or Damage to Assets| Restitution,0.00| 0.00,There is no need to fix the fence| The firm didn't have to pay  the cost of fixing the car as the insurance company took total liability ,,,,,Contact the owner of the building to report the incident and demand for the  collapsed tree cleared,Obehie Omiyi,12/21/2011,Done.,Complete,,,,
